species_name,common_Name,order,family,actual_label,predicted_probability,zoonointel_score,risk_tier,missing_feature_percent,confidence_level,data_completeness_percent,total_missing_features,total_imputed_features,uncertainty_reason,top_driver_1,top_driver_2,top_driver_3
Crateromys schadenbergi,Schadenberg’s Crateromys,Rodentia,Muridae,0,0.037508291,3.75,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys castanops,Castanops Pocket Gopher,Rodentia,Geomyidae,0,0.134920018,13.49,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys fumosus,Fumosus Pocket Gopher,Rodentia,Geomyidae,0,0.021020705,2.1,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys goldmani,Goldman’s Pocket Gopher,Rodentia,Geomyidae,0,0.07002446,7,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys gymnurus,Gymnurus Pocket Gopher,Rodentia,Geomyidae,0,0.045758777,4.58,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys merriami,Merriam’s Pocket Gopher,Rodentia,Geomyidae,0,0.029318691,2.93,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys neglectus,Neglectus Pocket Gopher,Rodentia,Geomyidae,0,0.020886557,2.09,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys tylorhinus,Tylorhinus Pocket Gopher,Rodentia,Geomyidae,0,0.06085601,6.09,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cratogeomys zinseri,Zinser’s Pocket Gopher,Rodentia,Geomyidae,0,0.020435928,2.04,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cremnomys cutchicus,Cutchicus Cremnomys,Rodentia,Muridae,0,0.161490047,16.15,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cremnomys elvira,Elvira Cremnomys,Rodentia,Muridae,0,0.032807013,3.28,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cricetomys ansorgei,Ansorge’s Cricetomys,Rodentia,Nesomyidae,0,0.394442743,39.44,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cricetomys emini,Emin’s Cricetomys,Rodentia,Nesomyidae,1,0.394442743,39.44,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cricetomys gambianus,Gambianus Cricetomys,Rodentia,Nesomyidae,1,0.397911424,39.79,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cricetomys kivuensis,Kivuensis Cricetomys,Rodentia,Nesomyidae,0,0.394442743,39.44,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cricetulus alticola,Alticola Hamster,Rodentia,Cricetidae,0,0.037241892,3.72,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura tanakae,Tanak’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.011182003,1.12,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura tansaniana,Tansaniana White-toothed Shrew,Soricomorpha,Soricidae,0,0.010020052,1,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura tarella,Tarella White-toothed Shrew,Soricomorpha,Soricidae,0,0.014858987,1.49,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura tarfayensis,Tarfayensis White-toothed Shrew,Soricomorpha,Soricidae,0,0.029529407,2.95,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura telfordi,Telford’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.014748077,1.47,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura tenuis,Tenuis White-toothed Shrew,Soricomorpha,Soricidae,0,0.015539027,1.55,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura thalia,Thalia White-toothed Shrew,Soricomorpha,Soricidae,0,0.015413604,1.54,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura theresae,Theres’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.052383739,5.24,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura thomensis,Thomensis White-toothed Shrew,Soricomorpha,Soricidae,0,0.01153273,1.15,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura trichura,Trichura White-toothed Shrew,Soricomorpha,Soricidae,0,0.006790937,0.68,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura turba,Turba White-toothed Shrew,Soricomorpha,Soricidae,0,0.05323915,5.32,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura ultima,Ultima White-toothed Shrew,Soricomorpha,Soricidae,0,0.012381974,1.24,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura usambarae,Usambar’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.010059518,1.01,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura viaria,Viaria White-toothed Shrew,Soricomorpha,Soricidae,0,0.109958864,11,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura virgata,Virgata White-toothed Shrew,Soricomorpha,Soricidae,0,0.013742858,1.37,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura voi,Vo’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.039870466,3.99,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura vorax,Vorax White-toothed Shrew,Soricomorpha,Soricidae,0,0.018442153,1.84,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura vosmaeri,Vosmaer’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.012762986,1.28,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura watasei,Watase’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.020560794,2.06,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura whitakeri,Whitaker’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.021746258,2.17,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura wimmeri,Wimmer’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.008805813,0.88,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura wuchihensis,Wuchihensis White-toothed Shrew,Soricomorpha,Soricidae,0,0.012762986,1.28,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura xantippe,Xantippe White-toothed Shrew,Soricomorpha,Soricidae,0,0.013964292,1.4,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura yankariensis,Yankariensis White-toothed Shrew,Soricomorpha,Soricidae,0,0.02429101,2.43,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura zaphiri,Zaphir’s White-toothed Shrew,Soricomorpha,Soricidae,1,0.009333181,0.93,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura zarudnyi,Zarudny’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.011773853,1.18,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura zimmeri,Zimmer’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.010699143,1.07,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocidura zimmermanni,Zimmermann’s White-toothed Shrew,Soricomorpha,Soricidae,0,0.016990343,1.7,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crocuta crocuta,Spotted Hyena,Carnivora,Hyaenidae,1,0.842603525,84.26,Very High,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crossarchus alexandri,Alexandr’s Crossarchus,Carnivora,Herpestidae,0,0.26258241,26.26,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crossarchus ansorgei,Ansorge’s Crossarchus,Carnivora,Herpestidae,0,0.147549172,14.75,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crossarchus obscurus,Obscurus Crossarchus,Carnivora,Herpestidae,0,0.132364531,13.24,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crossarchus platycephalus,Platycephalus Crossarchus,Carnivora,Herpestidae,0,0.148486821,14.85,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crossomys moncktoni,Monckton’s Crossomys,Rodentia,Muridae,0,0.023056046,2.31,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crunomys celebensis,Celebensis Crunomys,Rodentia,Muridae,0,0.015952087,1.6,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crunomys fallax,Fallax Crunomys,Rodentia,Muridae,0,0.014683307,1.47,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crunomys melanius,Melanius Crunomys,Rodentia,Muridae,0,0.050958179,5.1,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Crunomys suncoides,Suncoides Crunomys,Rodentia,Muridae,0,0.01883184,1.88,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptochloris wintoni,Winton’s Cryptochloris,Afrosoricida,Chrysochloridae,0,0.011351189,1.14,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptochloris zyli,Zyl’s Cryptochloris,Afrosoricida,Chrysochloridae,0,0.012385271,1.24,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys amatus,Amatus Cryptomys,Rodentia,Bathyergidae,0,0.094118623,9.41,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys anselli,Ansell’s Cryptomys,Rodentia,Bathyergidae,0,0.094118623,9.41,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys bocagei,Bocage’s Cryptomys,Rodentia,Bathyergidae,0,0.050797189,5.08,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys damarensis,Damarensis Cryptomys,Rodentia,Bathyergidae,0,0.1771915,17.72,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys darlingi,Darling’s Cryptomys,Rodentia,Bathyergidae,0,0.094118623,9.41,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys foxi,Fox’s Cryptomys,Rodentia,Bathyergidae,0,0.064379213,6.44,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys hottentotus,Hottentotus Cryptomys,Rodentia,Bathyergidae,0,0.28915789,28.92,Moderate,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
Cryptomys kafuensis,Kafuensis Cryptomys,Rodentia,Bathyergidae,0,0.099362843,9.94,Low,0,High,100,0,0,Low uncertainty: all model features available after imputation,geographic_range_area_km2,adult_body_mass_g,precipitation_mean_mm
